app_id,platform,country,channel_id,sub_campaign_id,install_date,spend,revenue,clicks,impressions,installs
5f3f78ff34aaa53b5b19f747,android,PS,0,fd51c91a-8877-4ca8-ac73-b82c65fb13ab,2025-01-26,0,"0,1300930125",0,0,6
5f3f78ff34aaa53b5b19f747,android,N/A,0,N/A,2025-01-27,0,"18,735977924",0,0,0
5f3f78ff34aaa53b5b19f747,ios,CA,0,N/A,2025-02-24,0,"16,157362908",0,0,24
5f3f78ff34aaa53b5b19f747,android,VE,0,N/A,2025-02-24,0,"0,003798067",0,0,6
5f3f78ff34aaa53b5b19f747,android,PK,0,N/A,2025-02-24,0,"1,2673644554",0,0,42
5f3f78ff34aaa53b5b19f747,android,EG,0,N/A,2025-02-24,0,"0,0406104738",0,0,12
5f3f78ff34aaa53b5b19f747,ios,US,0,N/A,2025-02-24,0,"27,844262135",0,0,156
5f3f78ff34aaa53b5b19f747,ios,ID,0,N/A,2025-02-24,0,"0,00274752",0,0,6
5f3f78ff34aaa53b5b19f747,ios,FR,0,b3502483-1953-481b-b7f0-d06065fc67f1,2025-02-02,0,"0,2741736152",0,0,12
5f3f78ff34aaa53b5b19f747,ios,BR,0,N/A,2025-02-24,0,"0,145851632",0,0,18
5f3f78ff34aaa53b5b19f747,ios,JP,0,N/A,2025-02-20,0,"1,4517016072",0,0,18
5f3f78ff34aaa53b5b19f747,ios,IE,0,N/A,2025-02-24,0,"1,0953191097",0,0,6
5f3f78ff34aaa53b5b19f747,android,BR,0,N/A,2025-02-24,0,"1,6299964174",0,0,96
5f3f78ff34aaa53b5b19f747,android,AR,0,N/A,2025-02-24,0,"0,2300649916",0,0,24
5f3f78ff34aaa53b5b19f747,android,US,0,N/A,2025-02-21,0,"5,9455406323",0,0,102
5f3f78ff34aaa53b5b19f747,android,DO,0,N/A,2025-02-24,0,"0,0466990234",0,0,12
5f3f78ff34aaa53b5b19f747,android,PH,0,N/A,2025-02-24,0,"0,029249336",0,0,18
5f3f78ff34aaa53b5b19f747,ios,GB,0,N/A,2025-02-12,0,"2,4799406657",0,0,42
5f3f78ff34aaa53b5b19f747,android,US,0,N/A,2025-02-06,0,"1,1968160803",0,0,36
5f3f78ff34aaa53b5b19f747,ios,US,0,N/A,2025-02-08,0,"107,8420954",0,0,468
5f3f78ff34aaa53b5b19f747,ios,IN,0,N/A,2025-02-24,0,"0,2658698179",0,0,12
5f3f78ff34aaa53b5b19f747,android,PG,0,N/A,2025-02-24,0,"0,0100918818",0,0,6
5f3f78ff34aaa53b5b19f747,android,LY,0,N/A,2025-02-18,0,"0,4923120578",0,0,12
5f3f78ff34aaa53b5b19f747,android,IN,0,N/A,2025-02-24,0,"0,0640328678",0,0,42
5f3f78ff34aaa53b5b19f747,android,AR,0,N/A,2025-02-23,0,"0,8082918607",0,0,24
5f3f78ff34aaa53b5b19f747,android,RO,0,N/A,2025-02-24,0,"0,0980798716",0,0,18
5f3f78ff34aaa53b5b19f747,ios,FR,0,N/A,2025-02-24,0,"0,1893490477",0,0,6
5f3f78ff34aaa53b5b19f747,android,IT,0,N/A,2025-02-23,0,"0,1468000633",0,0,6
5f3f78ff34aaa53b5b19f747,android,ID,0,N/A,2025-02-19,0,"0,1519381778",0,0,66
5f3f78ff34aaa53b5b19f747,android,BW,0,N/A,2025-02-16,0,"0,2183161047",0,0,6
5f3f78ff34aaa53b5b19f747,ios,HK,0,N/A,2025-02-22,0,"1,3712566999",0,0,6
5f3f78ff34aaa53b5b19f747,ios,MD,0,N/A,2025-02-24,0,"0,0295655902",0,0,6
5f3f78ff34aaa53b5b19f747,ios,VN,0,N/A,2025-02-24,0,"0,0006649513",0,0,6
5f3f78ff34aaa53b5b19f747,ios,US,0,N/A,2025-02-20,0,"40,594336799",0,0,294
5f3f78ff34aaa53b5b19f747,ios,US,0,b3502483-1953-481b-b7f0-d06065fc67f1,2025-02-02,0,"68,385190704",0,0,384
5f3f78ff34aaa53b5b19f747,android,SV,0,N/A,2025-02-24,0,"0,0812047621",0,0,12
5f3f78ff34aaa53b5b19f747,ios,DE,0,N/A,2025-02-24,0,"0,0112240467",0,0,6
5f3f78ff34aaa53b5b19f747,android,RU,0,N/A,2025-01-25,0,"0,377571645",0,0,42
5f3f78ff34aaa53b5b19f747,android,RU,0,N/A,2025-02-15,0,"1,743890703",0,0,90
5f3f78ff34aaa53b5b19f747,ios,US,0,N/A,2025-02-17,0,"57,04180765",0,0,342
5f3f78ff34aaa53b5b19f747,android,MM,0,N/A,2025-02-23,0,"0,0398264847",0,0,12
5f3f78ff34aaa53b5b19f747,android,ID,0,N/A,2025-02-21,0,"0,5981827224",0,0,78
5f3f78ff34aaa53b5b19f747,ios,MA,0,N/A,2025-02-22,0,"0,0703856672",0,0,6
5f3f78ff34aaa53b5b19f747,android,ID,0,N/A,2025-02-23,0,"0,0634696592",0,0,48
5f3f78ff34aaa53b5b19f747,ios,CO,0,b3502483-1953-481b-b7f0-d06065fc67f1,2025-01-28,0,"0,7161862786",0,0,6
5f3f78ff34aaa53b5b19f747,android,IN,0,N/A,2025-02-16,0,"0,3235168607",0,0,48
5f3f78ff34aaa53b5b19f747,android,UA,0,N/A,2025-02-23,0,"0,0747380183",0,0,12
5f3f78ff34aaa53b5b19f747,ios,CA,0,b3502483-1953-481b-b7f0-d06065fc67f1,2025-02-02,0,"10,056608211",0,0,54
5f3f78ff34aaa53b5b19f747,android,PL,0,N/A,2025-03-08,0,"0,0748150705",0,0,6
5f3f78ff34aaa53b5b19f747,ios,JO,0,N/A,2025-03-08,0,"0,0274594622",0,0,6
5f3f78ff34aaa53b5b19f747,ios,BR,0,N/A,2025-03-08,0,"6,129006078",0,0,78
5f3f78ff34aaa53b5b19f747,android,EG,0,N/A,2025-02-15,0,"0,3406809383",0,0,18
5f3f78ff34aaa53b5b19f747,android,NA,0,N/A,2025-03-07,0,"0,0454582754",0,0,6
5f3f78ff34aaa53b5b19f747,android,KG,0,N/A,2025-03-05,0,"0,0114863476",0,0,6
5f3f78ff34aaa53b5b19f747,android,DZ,0,N/A,2025-03-07,0,"0,0184356892",0,0,12
5f3f78ff34aaa53b5b19f747,ios,KR,0,N/A,2025-03-08,0,"1,0697128093",0,0,54
5f3f78ff34aaa53b5b19f747,ios,JP,0,N/A,2025-03-08,0,"3,2587195194",0,0,48
